Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Rune Factory: A Fantasy Harvest Moon,,2006,"Role-Playing (RPG),Simulation",Nintendo DS,0
Marvel Ultimate Alliance,Activision,2006,"Action,Role-Playing (RPG)",Sony PSP,0
Marvel Ultimate Alliance,Activision,2006,"Action,Role-Playing (RPG)",PlayStation 3,1
Tiger Woods PGA Tour 07,EA,2006,Sports,PlayStation 3,1
Ace Combat X: Skies of Deception,Namco,2006,"Action,Simulation",Sony PSP,0
Killzone: Liberation,Sony,2006,"Action,Strategy",Sony PSP,0
F.E.A.R.: First Encounter Assault Recon,,2006,Action,X360,0
NBA 2K7,2K,2006,Sports,PlayStation 3,1
Tony Hawk's Project 8,Activision,2006,Sports,PlayStation 3,1
Avatar: The Last Airbender,THQ,2006,Action,Nintendo DS,0
Castlevania: Portrait of Ruin,Konami,2006,Action,Nintendo DS,0
Hitman: Blood Money,Eidos,2006,Action,X360,0
Rockstar Games presents Table Tennis,Rockstar,2006,Sports,X360,1
Trauma Center: Second Opinion,Nintendo,2006,"Action,Simulation",Nintendo Wii,0
Tenchu Z,Microsoft,2006,Action,X360,0
Elite Beat Agents,Nintendo,2006,Action,Nintendo DS,0
Street Fighter Alpha 3 MAX,Capcom,2006,Action,Sony PSP,0
Blue Dragon,Microsoft,2006,Role-Playing (RPG),X360,0
The Lord of the Rings: The Battle for Middle Ea...,EA,2006,Strategy,X360,0
Prey,2K,2006,Action,X360,0
Over the Hedge,Activision,2006,Adventure,Nintendo DS,0
Capcom Classics Collection Reloaded,Capcom,2006,Action,Sony PSP,0
Pirates of the Caribbean: Dead Man's Chest,,2006,Action,Sony PSP,0
NHL 07 ,EA,2006,Sports,X360,0
Monster Hunter Freedom,Capcom,2006,"Action,Strategy",Sony PSP,0
Chromehounds,Sega,2006,"Action,Simulation,Strategy",X360,0
Test Drive Unlimited,Atari,2006,Racing / Driving,X360,0
Dragon Ball Z: Budokai Tenkaichi 2,Atari,2006,Action,Nintendo Wii,1
Dragon Quest Monsters: Joker,SquareEnix,2006,Role-Playing (RPG),Nintendo DS,0
Pirates of the Caribbean: Dead Man's Chest,,2006,Action,Nintendo DS,0
NFL Street 3,EA,2006,"Action,Sports",Sony PSP,0
Syphon Filter: Dark Mirror,Sony,2006,Action,Sony PSP,0
NBA 07,Sony,2006,Sports,PlayStation 3,1
Ridge Racer 7,"Namco,Sony",2006,Racing / Driving,PlayStation 3,1
The Outfit,THQ,2006,Action,X360,1
Elebits,Konami,2006,Action,Nintendo Wii,1
Tony Hawk's Downhill Jam,Activision,2006,"Racing / Driving,Sports",Nintendo DS,0
The Sims 2: Pets,EA,2006,Simulation,Sony PSP,0
Tiger Woods PGA Tour 07,EA,2006,Sports,Sony PSP,0
Thrillville,Atari,2006,"Simulation,Strategy",Sony PSP,0
The Godfather: The Game,EA,2006,Action,X360,0
Rampage: Total Destruction,Midway,2006,Action,Nintendo Wii,1
College Hoops 2K7,2K,2006,Sports,X360,1
Far Cry: Instincts - Predator,Ubisoft,2006,Action,X360,1
Full Auto,Sega,2006,"Action,Racing / Driving",X360,1
Age of Empires: The Age of Kings,,2006,Strategy,Nintendo DS,0
Need for Speed: Carbon - Own the City,EA,2006,"Action,Racing / Driving",Nintendo DS,0
Brothers in Arms: D-Day,Ubisoft,2006,Action,Sony PSP,0
Family Guy Video Game!,2K,2006,Action,Sony PSP,0
Superman Returns,EA,2006,Action,X360,0
Over G Fighters,Ubisoft,2006,Simulation,X360,1
Final Fantasy XI Online,SquareEnix,2006,"Action,Role-Playing (RPG)",X360,0
Mystery Dungeon: Shiren the Wanderer,Sega,2006,"Action,Role-Playing (RPG)",Nintendo DS,0
Phoenix Wright: Ace Attorney - Justice for All,Capcom,2006,"Adventure,Simulation",Nintendo DS,0
Justice League Heroes,,2006,Action,Sony PSP,0
Valhalla Knights,,2006,"Action,Role-Playing (RPG)",Sony PSP,0
Genji: Days of the Blade,Sony,2006,"Action,Role-Playing (RPG)",PlayStation 3,0
Top Spin 2,2K,2006,Sports,X360,1
Field Commander,"Sony,Ubisoft",2006,Strategy,Sony PSP,1
Children of Mana,"Nintendo,SquareEnix",2006,"Action,Role-Playing (RPG)",Nintendo DS,0
Valkyrie Profile: Lenneth,SquareEnix,2006,Role-Playing (RPG),Sony PSP,0
Monster House,THQ,2006,Action,Nintendo DS,0
Enchanted Arms,Ubisoft,2006,Role-Playing (RPG),X360,0
NHL 07,EA,2006,Sports,Sony PSP,1
Bust-a-Move Deluxe,,2006,Strategy,Sony PSP,1
Full Auto 2: Battlelines,Sega,2006,"Action,Racing / Driving",PlayStation 3,1
Blitz: The League,Midway,2006,Sports,X360,1
Star Trek Legacy,Ubisoft,2006,"Action,Strategy",X360,1
Eragon,,2006,"Action,Role-Playing (RPG)",Nintendo DS,0
Master of Illusion,Nintendo,2006,Strategy,Nintendo DS,0
Mega Man ZX,Capcom,2006,Action,Nintendo DS,0
Untold Legends: The Warrior's Code,"Sony,Ubisoft",2006,"Action,Role-Playing (RPG)",Sony PSP,0
Super Swing Golf,,2006,Sports,Nintendo Wii,0
X-Men: The Official Game,Activision,2006,Action,X360,0
Untold Legends: Dark Kingdom,"EA,Sony",2006,"Action,Role-Playing (RPG)",PlayStation 3,1
Happy Feet,Midway,2006,Action,Nintendo Wii,1
Open Season,Ubisoft,2006,Action,Nintendo DS,0
Dungeon Siege: Throne of Agony,2K,2006,Role-Playing (RPG),Sony PSP,0
LocoRoco,Sony,2006,"Action,Strategy",Sony PSP,0
Dead or Alive: Xtreme 2,,2006,"Racing / Driving,Sports",X360,0
Fuzion Frenzy 2,Microsoft,2006,"Action,Sports",X360,1
MotoGP '06,THQ,2006,"Racing / Driving,Simulation,Sports",X360,1
Lumines II,,2006,Strategy,Sony PSP,1
Major League Baseball 2K6,2K,2006,Sports,Sony PSP,0
Star Wars: Lethal Alliance,Ubisoft,2006,Action,Sony PSP,0
Worms: Open Warfare,THQ,2006,"Action,Strategy",Sony PSP,0
Eragon,,2006,Action,Sony PSP,1
Metal Slug Anthology,,2006,Action,Nintendo Wii,1
Open Season,Ubisoft,2006,Action,X360,1
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,2006,Action,Nintendo Wii,1
Avatar: The Last Airbender,THQ,2006,Action,Sony PSP,0
Lemmings,Sony,2006,Strategy,Sony PSP,0
Mega Man Powered Up,Capcom,2006,Action,Sony PSP,0
College Hoops 2K6,2K,2006,Sports,X360,0
Dynasty Warriors 5: Empires,,2006,"Action,Role-Playing (RPG),Strategy",X360,1
Magical Starsign,Nintendo,2006,Role-Playing (RPG),Nintendo DS,0
Resident Evil: Deadly Silence,Capcom,2006,Action,Nintendo DS,0
X-Men: The Official Game,Activision,2006,Action,Nintendo DS,0
Cabela's African Safari,Activision,2006,Sports,X360,0
Cabela's Alaskan Adventures,Activision,2006,Sports,X360,0
Armored Core 4,Sega,2006,Action,PlayStation 3,1
Eragon,,2006,Action,X360,1
LostMagic,Ubisoft,2006,"Action,Role-Playing (RPG)",Nintendo DS,0
